,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
532,547,13121009300,13121,"Census Tract 93, Fulton County",4760,428,2386,169,528,185,22.1,7.6,479,181,20.1,7.5,885,214,37.1,8.6,494,149,20.7,6.0,88389.0,17316.0,68939.11439,19449.88561,60752.0,7288.0,278429696.0,41674568.0,116693.1,15386.9,ARC 10,597.40802002,7.47370005,604.88201904,0.93344998,0.011677700000000001,0.94512802,9300,Fulton,{0E0B67D0-C074-4000-8804-5E5112F3C12C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
533,548,13121009900,13121,"Census Tract 99, Fulton County",4735,494,2106,172,243,97,11.5,4.5,457,165,21.7,7.6,631,186,30.0,8.5,775,132,36.8,6.0,133438.0,39843.0,105373.3032,28064.69683,126694.0,14340.0,590594432.0,89398880.0,280434.2,35740.7,ARC 10,1917.52001953,13.60809994,1931.13000488,2.99611998,0.021262700000000002,3.01739001,9900,Fulton,{AD617E1E-E87D-40AB-B298-4968FFBC6DEA},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
534,549,13121009000,13121,"Census Tract 90, Fulton County",5146,291,2004,77,209,83,10.4,4.1,487,124,24.3,6.1,773,154,38.6,7.5,535,107,26.7,5.0,104459.0,3253.0,73940.21738999999,30518.782610000002,66618.0,7266.0,335319488.0,40853308.0,167325.1,19345.5,ARC 10,779.35198975,8.38971996,787.74102783,1.21774006,0.0131089,1.23084998,9000,Fulton,{255A7434-2D5E-49D0-AD8D-7049D8030870},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
535,550,13121009700,13121,"Census Tract 97, Fulton County",3825,323,1344,120,154,71,11.5,5.2,175,73,13.0,5.3,402,96,29.9,6.6,613,103,45.6,6.0,181250.0,36688.0,121357.6159,59892.38411,106099.0,14793.0,395686400.0,67220776.0,294409.5,42550.7,ARC 10,2599.58007813,86.12090302,2685.69995117,4.06184006,0.13456400000000002,4.19641018,9700,Fulton,{430EA4EB-A26D-4B52-8CA5-A08792A96E2B},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
536,551,13121010206,13121,"Census Tract 102.06, Fulton County",5524,368,2228,139,99,50,4.4,2.2,355,124,15.9,5.5,721,152,32.4,6.5,1053,131,47.3,5.0,184400.0,38038.0,161324.7863,23075.21368,121307.0,14356.0,661170304.0,91500088.0,296755.1,36658.4,ARC 10,3653.43994141,47.9253006,3701.36010742,5.70849991,0.07488330000000001,5.78338003,10206,Fulton,{FC02C90D-CD39-46FE-B2D6-0F999838729A},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
537,552,13121010204,13121,"Census Tract 102.04, Fulton County",4901,264,1818,72,166,77,9.1,4.2,297,94,16.3,5.1,752,151,41.4,8.2,603,118,33.2,6.0,147917.0,25055.0,139529.9145,8387.08547,71909.0,8646.0,349258304.0,45948944.0,192111.3,24102.1,ARC 10,2319.14990234,94.56500244,2413.7199707,3.6236701,0.14775801,3.77144003,10204,Fulton,{11438D6E-239D-40FE-93EC-65166E08CF48},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
538,553,13121007100,13121,"Census Tract 71, Fulton County",2002,329,756,82,507,115,67.1,13.4,160,64,21.2,8.2,82,52,10.8,6.8,7,10,0.9,1.0,20938.0,1872.0,14583.333330000001,6354.666667,21126.0,9908.0,31633000.0,11657587.0,41842.6,14737.1,ARC 10,612.30200195,0.0,612.30200195,0.95672202,0.0,0.95672202,7100,Fulton,{8BDC8FA8-ED8C-4E8C-A8FF-850CE9A5BBC0},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
539,554,13121006801,13121,"Census Tract 68.01, Fulton County",2509,296,0,13,0,32,,,0,29,,,0,26,,,0,13,,,,,57727.27273,,10481.0,10994.0,,,,,ARC 10,163.24800109999998,0.0,163.24800109999998,0.25507501,0.0,0.25507501,6801,Fulton,{6C455227-C175-4F48-A9F0-4E9C1C93B150},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
540,555,13121006900,13121,"Census Tract 69, Fulton County",3984,402,1236,112,395,118,32.0,9.1,334,106,27.0,8.2,461,114,37.3,8.6,46,27,3.7,2.0,51429.0,18264.0,25875.0,25554.0,23663.0,2140.0,86313504.0,11817062.0,69832.9,7167.0,ARC 10,778.53100586,0.0,778.53100586,1.21644998,0.0,1.21644998,6900,Fulton,{8353FF6F-14FF-4A1E-B7F8-2E71B278B6FD},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
541,556,13121005200,13121,"Census Tract 52, Fulton County",5534,531,2460,159,405,171,16.5,6.9,614,191,25.0,7.6,1311,293,53.3,11.4,130,87,5.3,4.0,88591.0,15489.0,39318.18182,49272.81818,45994.0,5032.0,239215600.0,30686098.0,97242.1,10774.9,ARC 10,560.26397705,0.0,560.26397705,0.87541199,0.0,0.87541199,5200,Fulton,{CD9BB6A9-9B26-4710-9AE5-081D93F789D3},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
542,557,13121005000,13121,"Census Tract 50, Fulton County",2004,207,908,67,269,72,29.6,7.7,235,67,25.9,7.1,323,68,35.6,7.0,81,29,8.9,3.0,61607.0,8841.0,39357.14286,22249.85714,42570.0,3226.0,78995904.0,10642128.0,86999.9,9806.0,ARC 10,336.07800293,0.0,336.07800293,0.52512199,0.0,0.52512199,5000,Fulton,{0C2712E8-E8BB-4863-8721-6BF4811A061C},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
543,558,13121001500,13121,"Census Tract 15, Fulton County",4308,479,2487,184,827,226,33.3,8.8,700,207,28.1,8.1,734,192,29.5,7.4,226,101,9.1,4.0,60356.0,10036.0,39754.33526,20601.66474,54207.0,8033.0,221114800.0,41258768.0,88908.2,15230.0,ARC 10,284.44799805,0.0,284.44799805,0.44444999,0.0,0.44444999,1500,Fulton,{B82ECAAD-3BDF-4964-882F-AAE51FE7C629},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
544,559,13121007807,13121,"Census Tract 78.07, Fulton County",3543,712,1049,126,762,170,72.6,13.7,201,87,19.2,8.0,86,66,8.2,6.2,0,13,0.0,1.0,18841.0,5328.0,26500.0,-7659.0,9622.0,1391.0,28455500.0,6303120.0,27126.3,5048.6,ARC 10,716.29602051,0.0,716.29602051,1.11921,0.0,1.11921,7807,Fulton,{00541143-A927-4937-92DE-95F30F3CA279},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
545,560,13121010510,13121,"Census Tract 105.10, Fulton County",15912,2007,6038,457,2714,757,44.9,12.1,2270,615,37.6,9.8,1054,404,17.5,6.6,0,20,0.0,0.0,37185.0,5714.0,45789.47368,-8604.473684,19477.0,1165.0,280460608.0,37292664.0,46449.3,5078.1,ARC 10,7632.22021484,76.70130157,7708.91992188,11.92529964,0.11984600000000001,12.04520035,10510,Fulton,{1ADEE67E-4E9D-44ED-B454-2D1E5D13C3D0},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
