,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
117,160,13067031313,13067,"Census Tract 313.13, Cobb County",10059,436,3879,136,406,161,10.5,4.1,861,230,22.2,5.9,1820,317,46.9,8,792,200,20.4,5,106296,14304,68820.42254,37475.57746,55235,5146,548636992,57487140,141437.7,13965.8,ARC 10,3829.02002,34.18510056,3863.209961,5.98284006,0.0534142,6.03627014,31313,Cobb,{A8D25806-FAE7-4AFB-A6EF-FECB0D2DFEFE},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
1,2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,3450,225,945,264,27.4,7.4,1369,315,39.7,8.8,1057,259,30.6,7.2,79,79,2.3,2,57143,4422,43930.55556,13212.44444,25682,6265,256619808,67288528,74382.6,18891,ARC 20,10931.2998,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,{321F2EFA-6D56-4B9D-8F4D-26979810B525},1970/01/01 00:00:00+00,Carroll,3353,13,45,120119,180,75,2791.4,62.44,203.96,245
295,296,13015960102,13015,"Census Tract 9601.02, Bartow County",10073,774,3521,207,1044,243,29.7,6.7,1035,238,29.4,6.5,1383,284,39.3,7.7,59,46,1.7,1,67639,7422,47416.66667,20222.33333,25993,2010,252989600,26979676,71851.6,6393,ARC 20,54358.80078,116.3679962,54475.19922,84.93560028,0.181825,85.11750031,960102,Bartow,{CC8097B0-DC5D-4996-A82A-BBF5C43257CE},1970/01/01 00:00:00+00,Bartow,3580,13,15,110771,330,94,3231.89,84.86,336.73,373
887,903,13057090400,13057,"Census Tract 904, Cherokee County",10088,854,3621,260,1597,338,44.1,8.8,1217,272,33.6,7.1,754,205,20.8,5.5,53,46,1.5,1,38577,4764,34293.47826,4283.521739,19307,1665,189169200,22423840,52242.3,4927.3,ARC 10,11333.5,136.4179993,11469.90039,17.70859909,0.213153,17.92169952,90400,Cherokee,{36DFB31E-5B05-4861-B8A0-147B7B1BDAF8},1970/01/01 00:00:00+00,Cherokee,7057,13,57,266617,527,102,2646.87,38.26,189.04,504
726,727,13089023428,13089,"Census Tract 234.28, DeKalb County",10126,851,3844,179,1671,321,43.5,8.1,1576,336,41,8.5,553,173,14.4,4.5,44,70,1.1,2,37827,6258,45724.29907,-7897.299065,19928,2042,194131200,26674700,50502.4,6528.7,ARC 10,1877.439941,55.81639862,1933.25,2.93350005,0.0872131,3.02069998,23428,DeKalb,{D2ED4D59-DEBE-499D-A745-05E203AD41A3},1970/01/01 00:00:00+00,DeKalb,21049,13,89,793154,2309,397,2653.84,50.05,141.21,1120
590,605,13121011615,13121,"Census Tract 116.15, Fulton County",10253,560,3434,167,291,113,8.5,3.3,477,157,13.9,4.5,1586,295,46.2,8.3,1080,189,31.5,5,145606,15228,89397.90576,56208.09424,63444,5166,635094592,61795792,184943.1,15586.5,ARC 10,4987.149902,97.88539886,5085.029785,7.79241991,0.152946,7.94536018,11615,Fulton,{10FD66F7-0811-4B99-BA01-CEEE0BFE567F},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
239,240,13063040621,13063,"Census Tract 406.21, Clayton County",10262,859,3071,163,741,206,24.1,6.6,1528,314,49.8,9.9,704,219,22.9,7,98,91,3.2,3,55927,7431,53640.10989,2286.89011,20131,2279,198173104,28847094,64530.5,8746.7,ARC 10,1984.869995,0,1984.869995,3.10136008,0,3.10136008,40621,Clayton,{5217509D-D989-4D4C-BEF8-CF37C96B4AF7},1970/01/01 00:00:00+00,Clayton,8168,13,63,304838,689,175,2679.46,57.41,144.34,440
571,586,13121010303,13121,"Census Tract 103.03, Fulton County",10275,1029,3709,264,904,261,24.4,6.8,1216,288,32.8,7.4,1419,313,38.3,8,170,86,4.6,2,61804,10635,66394.42231,-4590.422311,32585,2863,307576608,41102080,82927.1,9378.9,ARC 10,8494.379883,157.7550049,8652.139648,13.27250004,0.246492,13.51900005,10303,Fulton,{86CDE1A4-A59A-48A2-A4AD-8F8A460B7071},1970/01/01 00:00:00+00,Fulton,30926,13,121,1099181,2594,619,2813.55,56.31,149.93,1648
155,201,13067031503,13067,"Census Tract 315.03, Cobb County",10292,713,3098,144,759,227,24.5,7.2,1063,279,34.3,8.9,1276,269,41.2,8.5,0,20,0,1,65000,9554,62985.43689,2014.563107,21604,1186,217186496,19194248,70105.4,5269.5,ARC 10,2851.449951,24.5897007,2876.040039,4.45538998,0.0384214,4.49381018,31503,Cobb,{33615D9E-15B7-49DB-93D5-6B3F2A869902},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
422,356,13217100901,13217,"Census Tract 1009.01, Newton County",10297,730,3568,215,952,260,26.7,7.1,1389,272,38.9,7.2,1195,265,33.5,7.2,32,37,0.9,1,57649,5969,49902.5974,7746.402597,24386,1994,241244992,27764200,67613.5,6629.6,ARC 20,15595.09961,125.9720001,15721.09961,24.36730003,0.196831,24.56419945,100901,Newton,{85C94CFA-E6A9-414E-B03A-3AAAAD57C7DD},1970/01/01 00:00:00+00,Newton,2850,13,217,112354,297,95,2536.63,84.55,100.57,113
267,268,13151070403,13151,"Census Tract 704.03, Henry County",10299,790,3318,210,1080,258,32.5,7.5,1092,270,32.9,7.9,1054,243,31.8,7,92,95,2.8,3,55439,10253,56319.14894,-880.1489362,22483,2886,225040992,34583188,67824.3,9497.9,ARC 10,13952.40039,171.5039978,14123.90039,21.80060005,0.267975,22.0685997,70403,Henry,{C4A793E2-4D57-4020-BBD5-16DAFA77026C},1970/01/01 00:00:00+00,Henry,6163,13,151,239866,279,112,2569.35,46.69,149.67,359
82,83,13067031206,13067,"Census Tract 312.06, Cobb County",10302,686,5127,238,1033,334,20.1,6.5,1442,398,28.1,7.6,2346,450,45.8,8.5,306,182,6,4,76859,11664,49013.60544,27845.39456,47063,3974,478842688,51333964,93396.3,9025.1,ARC 10,2269.939941,4.48273993,2274.429932,3.54678011,0.00700428,3.55380011,31206,Cobb,{CBEAF2A0-3854-4A5F-B154-18C27EE6DBF9},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
40,41,13247060202,13247,"Census Tract 602.02, Rockdale County",10334,820,3348,205,942,261,28.1,7.6,1137,270,34,7.8,1180,246,35.2,7,89,60,2.7,2,56151,5779,59685.31469,-3534.314685,24579,1022,237544704,23829856,70951.2,5638,ARC 10,6994.120117,101.3519974,7095.470215,10.9282999,0.158362,11.08670044,60202,Rockdale,{A745830D-B0D0-4800-AAA5-EFD2B228DCB3},1970/01/01 00:00:00+00,Rockdale,2116,13,247,94960,266,40,2228.31,42.12,163.23,155
